epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,584.894,0.84591,1.80243,0.8856,0.4485,0.22573,0.20684,0.15139,0.96534,1.86031,0.93329,9.56501e-05,9.56501e-05,9.56501e-05
43,597.664,0.83964,1.79942,0.88485,0.53103,0.22715,0.20412,0.15239,0.97258,1.84698,0.92551,9.40562e-05,9.40562e-05,9.40562e-05
44,610.613,0.83992,1.78294,0.88236,0.56923,0.20816,0.19675,0.14874,0.9762,1.84986,0.92941,9.24623e-05,9.24623e-05,9.24623e-05
45,623.218,0.83621,1.76447,0.88493,0.55375,0.20053,0.19442,0.14669,0.98009,1.89854,0.93306,9.08684e-05,9.08684e-05,9.08684e-05
46,636.194,0.83923,1.74818,0.87669,0.5018,0.20817,0.20482,0.15539,0.97043,1.83018,0.92795,8.92745e-05,8.92745e-05,8.92745e-05
47,648.909,0.83024,1.72924,0.87777,0.58659,0.21657,0.20766,0.15801,0.96889,1.85621,0.92491,8.76806e-05,8.76806e-05,8.76806e-05
48,661.684,0.82855,1.74226,0.87922,0.47246,0.2566,0.21791,0.16546,0.97352,1.81966,0.93405,8.60867e-05,8.60867e-05,8.60867e-05
49,674.71,0.8263,1.69685,0.87831,0.44963,0.25983,0.21708,0.16676,0.96089,1.8421,0.9305,8.44928e-05,8.44928e-05,8.44928e-05
50,687.91,0.82502,1.71726,0.88192,0.51322,0.23781,0.21777,0.16573,0.96469,1.8317,0.92877,8.28989e-05,8.28989e-05,8.28989e-05
51,701.105,0.82861,1.66664,0.88039,0.59022,0.21775,0.22199,0.16982,0.95612,1.82824,0.92986,8.1305e-05,8.1305e-05,8.1305e-05
52,714.28,0.81498,1.66303,0.87795,0.62853,0.22027,0.2226,0.16977,0.95082,1.80569,0.92504,7.97111e-05,7.97111e-05,7.97111e-05
53,727.535,0.82745,1.64421,0.87597,0.38441,0.2716,0.22837,0.17621,0.94182,1.79812,0.92446,7.81172e-05,7.81172e-05,7.81172e-05
54,740.349,0.82193,1.64217,0.8794,0.453,0.27494,0.23057,0.17594,0.9419,1.8089,0.92619,7.65233e-05,7.65233e-05,7.65233e-05
55,753.255,0.82592,1.61529,0.8802,0.33319,0.2962,0.22948,0.17512,0.95186,1.81731,0.92656,7.49294e-05,7.49294e-05,7.49294e-05
56,766.506,0.81795,1.61703,0.87232,0.29191,0.30025,0.23041,0.17467,0.9648,1.80663,0.92776,7.33355e-05,7.33355e-05,7.33355e-05
57,780.066,0.82218,1.60765,0.87662,0.40873,0.27398,0.22756,0.17237,0.95311,1.7949,0.92965,7.17416e-05,7.17416e-05,7.17416e-05
58,793.714,0.80619,1.59047,0.8748,0.63945,0.21448,0.22842,0.17432,0.95073,1.79544,0.9332,7.01477e-05,7.01477e-05,7.01477e-05
59,806.673,0.82112,1.59227,0.88088,0.38808,0.26774,0.22895,0.17411,0.95614,1.80291,0.93595,6.85538e-05,6.85538e-05,6.85538e-05
60,819.83,0.80455,1.5826,0.8725,0.60518,0.22069,0.23624,0.17909,0.95449,1.77246,0.93165,6.69599e-05,6.69599e-05,6.69599e-05
61,832.705,0.80591,1.5686,0.87628,0.51645,0.23814,0.25178,0.18918,0.95917,1.78839,0.93482,6.5366e-05,6.5366e-05,6.5366e-05
62,845.378,0.82007,1.54563,0.87508,0.31793,0.28118,0.24413,0.18515,0.95779,1.80613,0.93145,6.37721e-05,6.37721e-05,6.37721e-05
63,858.377,0.80459,1.58002,0.87447,0.36978,0.29477,0.24537,0.18572,0.98033,1.77781,0.93688,6.21782e-05,6.21782e-05,6.21782e-05
64,871.09,0.79968,1.55522,0.87245,0.3397,0.29367,0.24301,0.18408,0.96442,1.76276,0.93198,6.05843e-05,6.05843e-05,6.05843e-05
65,884.764,0.79892,1.53787,0.8699,0.35806,0.30964,0.24886,0.18866,0.97155,1.74559,0.93479,5.89904e-05,5.89904e-05,5.89904e-05
66,898.67,0.80357,1.53642,0.87317,0.48337,0.25129,0.24619,0.18753,0.95765,1.75021,0.93499,5.73965e-05,5.73965e-05,5.73965e-05
67,912.504,0.78189,1.51327,0.87135,0.31832,0.28177,0.24589,0.18704,0.95354,1.7741,0.93121,5.58026e-05,5.58026e-05,5.58026e-05
68,926.146,0.79766,1.52743,0.8752,0.31996,0.30954,0.25637,0.19534,0.95835,1.77787,0.93335,5.42087e-05,5.42087e-05,5.42087e-05
69,939.056,0.78614,1.48915,0.87175,0.32305,0.28654,0.25212,0.19049,0.96316,1.76497,0.93777,5.26148e-05,5.26148e-05,5.26148e-05
70,952.919,0.7889,1.48077,0.87227,0.30455,0.30024,0.24824,0.18894,0.95525,1.7629,0.92784,5.10209e-05,5.10209e-05,5.10209e-05
71,966.29,0.79362,1.47846,0.87018,0.33287,0.30027,0.25177,0.19183,0.9527,1.73792,0.93047,4.9427e-05,4.9427e-05,4.9427e-05
72,980.082,0.78912,1.47984,0.86854,0.3305,0.3077,0.25816,0.19649,0.95066,1.75196,0.93045,4.78331e-05,4.78331e-05,4.78331e-05
73,993.857,0.78579,1.49202,0.87207,0.27521,0.31136,0.24929,0.18915,0.96014,1.76019,0.93432,4.62392e-05,4.62392e-05,4.62392e-05
74,1007.55,0.79459,1.47887,0.87172,0.33798,0.29871,0.25408,0.1935,0.9601,1.75035,0.93227,4.46453e-05,4.46453e-05,4.46453e-05
75,1021,0.7858,1.45034,0.86686,0.3216,0.29796,0.2546,0.19286,0.96005,1.74083,0.93142,4.30514e-05,4.30514e-05,4.30514e-05
76,1034.23,0.77315,1.4638,0.86591,0.40813,0.28679,0.25652,0.19488,0.96481,1.74423,0.93032,4.14575e-05,4.14575e-05,4.14575e-05
77,1048.12,0.78261,1.4596,0.86838,0.34297,0.29419,0.25776,0.19526,0.9663,1.73955,0.93611,3.98636e-05,3.98636e-05,3.98636e-05
78,1061.85,0.80017,1.45456,0.87241,0.37083,0.29014,0.25425,0.19396,0.96318,1.74022,0.93509,3.82697e-05,3.82697e-05,3.82697e-05
79,1075.56,0.77125,1.45748,0.86487,0.36862,0.29813,0.25807,0.1961,0.96084,1.72417,0.93104,3.66758e-05,3.66758e-05,3.66758e-05
80,1089.24,0.78537,1.4249,0.86906,0.34643,0.31525,0.25654,0.19351,0.96706,1.74202,0.92978,3.50819e-05,3.50819e-05,3.50819e-05
81,1102.92,0.78128,1.43848,0.86933,0.38124,0.29102,0.26168,0.19764,0.95544,1.73519,0.93129,3.3488e-05,3.3488e-05,3.3488e-05
82,1116.08,0.77531,1.39991,0.8698,0.37593,0.29941,0.25954,0.19778,0.95246,1.73442,0.92997,3.18941e-05,3.18941e-05,3.18941e-05
83,1129.23,0.78172,1.42957,0.86995,0.40635,0.30429,0.25938,0.19663,0.95095,1.72015,0.92849,3.03002e-05,3.03002e-05,3.03002e-05
84,1142.75,0.77061,1.41498,0.8692,0.36286,0.32403,0.26333,0.20052,0.94908,1.71316,0.93111,2.87063e-05,2.87063e-05,2.87063e-05
85,1155.87,0.76938,1.41688,0.86327,0.30258,0.30961,0.26171,0.19837,0.96311,1.71446,0.93382,2.71124e-05,2.71124e-05,2.71124e-05
86,1170.7,0.76236,1.41468,0.86455,0.39064,0.28889,0.26442,0.20028,0.95239,1.71815,0.9319,2.55185e-05,2.55185e-05,2.55185e-05
87,1183.71,0.77151,1.40068,0.86855,0.39215,0.29771,0.26684,0.20266,0.96426,1.71221,0.93647,2.39246e-05,2.39246e-05,2.39246e-05
88,1196.7,0.78132,1.4069,0.86454,0.35649,0.31032,0.27144,0.20554,0.95307,1.7184,0.92959,2.23307e-05,2.23307e-05,2.23307e-05
89,1209.94,0.77365,1.38444,0.87008,0.36736,0.30868,0.26649,0.20143,0.9609,1.70817,0.93223,2.07368e-05,2.07368e-05,2.07368e-05
90,1222.77,0.76513,1.38953,0.86916,0.3635,0.31055,0.26729,0.20313,0.94214,1.70643,0.92711,1.91429e-05,1.91429e-05,1.91429e-05
91,1302.03,0.75335,1.37218,0.86348,0.32681,0.32025,0.25518,0.19483,0.95107,1.74085,0.93355,1.7549e-05,1.7549e-05,1.7549e-05
92,1315.06,0.73457,1.34206,0.86039,0.28811,0.31425,0.26013,0.19822,0.97275,1.7377,0.93783,1.59551e-05,1.59551e-05,1.59551e-05
93,1327.8,0.72347,1.31046,0.85159,0.38879,0.27781,0.26223,0.20005,0.96133,1.72435,0.93384,1.43612e-05,1.43612e-05,1.43612e-05
94,1340.49,0.72499,1.30557,0.85733,0.31226,0.31438,0.2622,0.19965,0.96018,1.72914,0.93533,1.27673e-05,1.27673e-05,1.27673e-05
95,1353.18,0.72602,1.29145,0.85517,0.31596,0.3153,0.26291,0.20129,0.95286,1.71643,0.93598,1.11734e-05,1.11734e-05,1.11734e-05
96,1365.87,0.72707,1.29838,0.85588,0.31657,0.324,0.26545,0.20337,0.9513,1.71227,0.93202,9.5795e-06,9.5795e-06,9.5795e-06
97,1378.44,0.72672,1.29821,0.85495,0.32052,0.31956,0.26394,0.20201,0.95703,1.71458,0.93244,7.9856e-06,7.9856e-06,7.9856e-06
98,1390.9,0.7251,1.29223,0.85586,0.32011,0.3363,0.2685,0.20539,0.95408,1.71459,0.93138,6.3917e-06,6.3917e-06,6.3917e-06
99,1403.4,0.72737,1.30352,0.85366,0.299,0.33612,0.26786,0.20527,0.94712,1.7138,0.9284,4.7978e-06,4.7978e-06,4.7978e-06
100,1416.07,0.72326,1.27139,0.85197,0.29003,0.31774,0.26598,0.20353,0.95598,1.71833,0.93189,3.2039e-06,3.2039e-06,3.2039e-06
